Year,Fishery, PERMIT #,OWNER,LLP #,VESSEL
2008,Amd80,528,OCEAN ALA ,4360,OCEAN ALASKA
2008,Amd80,1311,FCA HOLDIN ,2084,ALASKA VOYAGER
2008,Amd80,2118,THE FISHIN ,2118,ALASKA RANGER
2008,Amd80,2443,ALASKA JUR ,2082,ALASKA JURIS
2008,Amd80,3423,THE FISHIN ,2083,ALASKA WARRIOR
2008,Amd80,3819,ALASKA SPI ,3043,ALASKA SPIRIT
2008,Amd80,3895,ARCTIC SOL ,3895,OCEAN CAPE
2008,Amd80,4093,ALASKA VIC ,2080,ALASKA VICTORY
2009,Amd80, 528,OCEAN ALA ,4360,OCEAN ALASKA
2009,Amd80,1311,FCA HOLDIN ,2084,ALASKA VOYAGER
2009,Amd80,2118,THE FISHIN ,2118,ALASKA RANGER
2009,Amd80,2443,ALASKA JUR ,2082,ALASKA JURIS
2009,Amd80,3423,THE FISHIN ,2083,ALASKA WARRIOR
2009,Amd80,3819,ALASKA SPI ,3043,ALASKA SPIRIT
2009,Amd80,3895,ARCTIC SOL ,3895,OCEAN CAPE
2009,Amd80,4093,ALASKA VIC ,2080,ALASKA VICTORY