Vessel_name,ADFG ,USCG ,AFA 
ALASKA OCEAN ,60407 ,637856 ,3794 
AMERICAN DYNASTY (1) ,59378 ,951307 ,3681 
AMERICAN ENTERPRISE ,54836 ,594803 ,2760 
AMERICAN TRIUMPH (1) ,60660 ,646737 ,4055 
ARCTIC FJORD ,57450 ,940866 ,3396 
ARCTIC STORM ,54886 ,903511 ,2943 
ENDURANCE ,57201 ,592206 ,3360 
HIGHLAND LIGHT ,56974 ,577044 ,3348 
ISLAND ENTERPRISE ,59503 ,610290 ,3870 
KATIE ANN (1) ,55301 ,518441 ,1996 
KODIAK ENTERPRISE ,59170 ,579450 ,3671 
NORTHERN EAGLE (1) ,56618 ,506694 ,3261 
NORTHERN GLACIER ,48075 ,663457 ,0661 
NORTHERN JAEGER (1) ,60202 ,521069 ,3896 
NORTHERN HAWK (1) ,60795 ,643771 ,4063 
OCEAN PEACE ,55767 ,677399 ,2134 
OCEAN ROVER ,56987 ,552100 ,3442 
PACIFIC GLACIER ,56991 ,933627 ,3357 
SEATTLE ENTERPRISE ,56789 ,904767 ,3245 
STARBOUND ,57621 ,944658 ,3414 
U.S. ENTERPRISE ,55125 ,921112 ,3004 
ALASKA OCEAN,60407,637856,3794
AMERICAN DYNASTY,59378,951307,3681
AMERICAN ENTERPRISE,54836,594803,2760
AMERICAN TRIUMPH,60660,646737,4055
ARCTIC FJORD,57450,940866,3396
ARCTIC STORM,54886,903511,2943
ENDURANCE,57201,592206,3360
HIGHLAND LIGHT,56974,577044,3348
ISLAND ENTERPRISE,59503,610290,3870
KATIE ANN,55301,518441,1996
KODIAK ENTERPRISE,59170,579450,3671
NORTHERN EAGLE,56618,506694,3261
NORTHERN GLACIER,48075,663457,661
NORTHERN HAWK,60795,643771,4063
NORTHERN JAEGER,60202,521069,3896
OCEAN PEACE,55767,677399,2134
OCEAN ROVER,56987,552100,3442
PACIFIC GLACIER,56991,933627,3357
SEATTLE ENTERPRISE,56789,904767,3245
STARBOUND,57621,944658,3414
U.S. ENTERPRISE,55125,921112,3004
ALASKA OCEAN,60407,637856,3794
AMERICAN DYNASTY,59378,951307,3681
AMERICAN ENTERPRISE,54836,594803,2760
AMERICAN TRIUMPH,60660,646737,4055
ARCTIC FJORD,57450,940866,3396
ARCTIC STORM,54886,903511,2943
ENDURANCE,57201,592206,3360
HIGHLAND LIGHT,56974,577044,3348
ISLAND ENTERPRISE,59503,610290,3870
KATIE ANN,55301,518441,1996
KODIAK ENTERPRISE,59170,579450,3671
NORTHERN EAGLE,56618,506694,3261
NORTHERN GLACIER,48075,663457,661
NORTHERN HAWK,60795,643771,4063
NORTHERN JAEGER,60202,521069,3896
OCEAN PEACE,55767,677399,2134
OCEAN ROVER,56987,552100,3442
PACIFIC GLACIER,56991,933627,3357
SEATTLE ENTERPRISE,56789,904767,3245
STARBOUND,57621,944658,3414
U.S. ENTERPRISE,55125,921112,3004
ALASKA OCEAN,60407,637856,3794
AMERICAN DYNASTY,59378,951307,3681
AMERICAN ENTERPRISE,54836,594803,2760
AMERICAN TRIUMPH,60660,646737,4055
ARCTIC FJORD,57450,940866,3396
ARCTIC STORM,54886,903511,2943
ENDURANCE,57201,592206,3360
HIGHLAND LIGHT,56974,577044,3348
ISLAND ENTERPRISE,59503,610290,3870
KATIE ANN,55301,518441,1996
KODIAK ENTERPRISE,59170,579450,3671
NORTHERN EAGLE,56618,506694,3261
NORTHERN GLACIER,48075,663457,661
NORTHERN HAWK,60795,643771,4063
NORTHERN JAEGER,60202,521069,3896
OCEAN PEACE,55767,677399,2134
OCEAN ROVER,56987,552100,3442
PACIFIC GLACIER,56991,933627,3357
SEATTLE ENTERPRISE,56789,904767,3245
STARBOUND,57621,944658,3414
U.S. ENTERPRISE,55125,921112,3004
ALASKA OCEAN,60407,637856,3794
AMERICAN DYNASTY,59378,951307,3681
AMERICAN ENTERPRISE,54836,594803,2760
AMERICAN TRIUMPH,60660,646737,4055
ARCTIC FJORD,57450,940866,3396
ARCTIC STORM,54886,903511,2943
ENDURANCE,57201,592206,3360
HIGHLAND LIGHT,56974,577044,3348
ISLAND ENTERPRISE,59503,610290,3870
KATIE ANN,55301,518441,1996
KODIAK ENTERPRISE,59170,579450,3671
NORTHERN EAGLE,56618,506694,3261
NORTHERN GLACIER,48075,663457,661
NORTHERN HAWK,60795,643771,4063
NORTHERN JAEGER,60202,521069,3896
OCEAN PEACE,55767,677399,2134
OCEAN ROVER,56987,552100,3442
PACIFIC GLACIER,56991,933627,3357
SEATTLE ENTERPRISE,56789,904767,3245
STARBOUND,57621,944658,3414
U.S. ENTERPRISE,55125,921112,3004