Fishery,Year, PERMIT #,OWNER,SPECIES,,
AMD80,2010,3423,V,580 NACHE ,Pacific Cod,4606763
AMD80,2010,3423,V,580 NACHE ,Pacific Oce ,9912128
AMD80,2010,3423,V,580 NACHE ,Rock Sole,7308731
AMD80,2010,3423,V,580 NACHE ,Yellowfin S,30134586
AMD80,2010,3694,V,4257 24TH ,Atka Macke,75929
AMD80,2010,3694,V,4257 24TH ,Atka Macke,400
AMD80,2010,3694,V,4257 24TH ,Flathead So,5980230
AMD80,2010,3694,V,4257 24TH ,Pacific Cod,8943395
AMD80,2010,3694,V,4257 24TH ,Rock Sole,8653292
AMD80,2010,3694,V,4257 24TH ,Yellowfin S,16648065
AMD80,2010,3744,L,120 TILLSO ,Flathead So,85216
AMD80,2010,3744,L,120 TILLSO ,Rock Sole,850175
AMD80,2010,3744,L,120 TILLSO ,Yellowfin S,1757999
AMD80,2010,3819,V,580 NACHE ,Atka Macke,21858361
AMD80,2010,3819,V,580 NACHE ,Flathead So,1648940
AMD80,2010,3819,V,580 NACHE ,Pacific Cod,4965397
AMD80,2010,3819,V,580 NACHE ,Pacific Oce ,1440168
AMD80,2010,3819,V,580 NACHE ,Rock Sole,11459605
AMD80,2010,3819,V,580 NACHE ,Yellowfin S,27049154
AMD80,2010,3835,V,4201 21ST ,Atka Macke,47754219
AMD80,2010,3835,V,4201 21ST ,Flathead So,953810
AMD80,2010,3835,V,4201 21ST ,Pacific Cod,7999421
AMD80,2010,3835,V,4201 21ST ,Pacific Oce ,10738609
AMD80,2010,3835,V,4201 21ST ,Rock Sole,3160316
AMD80,2010,3835,V,4201 21ST ,Yellowfin S,16457475
AMD80,2010,3895,L,4257 24TH ,Atka Macke,32
AMD80,2010,3895,L,4257 24TH ,Flathead So,699091
AMD80,2010,3895,L,4257 24TH ,Pacific Cod,570339
AMD80,2010,3895,L,4257 24TH ,Rock Sole,1031169
AMD80,2010,3895,L,4257 24TH ,Yellowfin S,611940
AMD80,2010,4092,V,120 TILLSO ,Atka Macke,777682
AMD80,2010,4092,V,120 TILLSO ,Flathead So,9386173
AMD80,2010,4092,V,120 TILLSO ,Pacific Cod,9669804
AMD80,2010,4092,V,120 TILLSO ,Rock Sole,9240634
AMD80,2010,4092,V,120 TILLSO ,Yellowfin S,17710447
AMD80,2010,4093,V,580 NACHE ,Atka Macke,29334963
AMD80,2010,4093,V,580 NACHE ,Flathead So,1201482
AMD80,2010,4093,V,580 NACHE ,Pacific Cod,4680046
AMD80,2010,4093,V,580 NACHE ,Pacific Oce ,3858802
AMD80,2010,4093,V,580 NACHE ,Rock Sole,5577002
AMD80,2010,4093,V,580 NACHE ,Yellowfin S,25027063
AMD80,2010,4635,V,120 TILLSO ,Atka Macke,321301
AMD80,2010,4635,V,120 TILLSO ,Flathead So,7994079
AMD80,2010,4635,V,120 TILLSO ,Pacific Cod,9834868
AMD80,2010,4635,V,120 TILLSO ,Rock Sole,10457592
AMD80,2010,4635,V,120 TILLSO ,Yellowfin S,14576535
AMD80,2010,5822,V,120 TILLSO ,Atka Macke,669339
AMD80,2010,5822,V,120 TILLSO ,Flathead So,10274864
AMD80,2010,5822,V,120 TILLSO ,Pacific Cod,10554424
AMD80,2010,5822,V,120 TILLSO ,Rock Sole,9280312
AMD80,2010,5822,V,120 TILLSO ,Yellowfin S,14567955
AMD80,2011,528,V,6901 WEST ,Atka Macke,18461
AMD80,2011,528,V,6901 WEST ,Flathead So,1353899
AMD80,2011,528,V,6901 WEST ,Pacific Cod,1004056
AMD80,2011,528,V,6901 WEST ,Rock Sole,1089424
AMD80,2011,528,V,6901 WEST ,Yellowfin S,2674130
AMD80,2011,1311,V,580 NACHE ,Atka Macke,2968052
AMD80,2011,1311,V,580 NACHE ,Flathead So,167390
AMD80,2011,1311,V,580 NACHE ,Pacific Cod,1268313
AMD80,2011,1311,V,580 NACHE ,Pacific Oce ,998792
AMD80,2011,1311,V,580 NACHE ,Rock Sole,1005991
AMD80,2011,1311,V,580 NACHE ,Yellowfin S,3621450
AMD80,2011,1610,V,4257 24TH ,Atka Macke,408980
AMD80,2011,1610,V,4257 24TH ,Flathead So,6237573
AMD80,2011,1610,V,4257 24TH ,Pacific Cod,8295459
AMD80,2011,1610,V,4257 24TH ,Rock Sole,7056379
AMD80,2011,1610,V,4257 24TH ,Yellowfin S,14735627
AMD80,2011,1802,L,6901 WEST ,Flathead So,85216
AMD80,2011,1802,L,6901 WEST ,Rock Sole,850175
AMD80,2011,1802,L,6901 WEST ,Yellowfin S,1757999
AMD80,2011,1879,V,570 KIRKLA ,Atka Macke,924640
AMD80,2011,1879,V,570 KIRKLA ,Atka Macke,1552870
AMD80,2011,1879,V,570 KIRKLA ,Flathead So,2095306
AMD80,2011,1879,V,570 KIRKLA ,Pacific Cod,9018264
AMD80,2011,1879,V,570 KIRKLA ,Pacific Oce ,72511
AMD80,2011,1879,V,570 KIRKLA ,Rock Sole,12791703
AMD80,2011,1879,V,570 KIRKLA ,Yellowfin S,14050747
AMD80,2011,2110,V,4257 24TH ,Atka Macke,266993
AMD80,2011,2110,V,4257 24TH ,Flathead So,7748493
AMD80,2011,2110,V,4257 24TH ,Pacific Cod,7272271
AMD80,2011,2110,V,4257 24TH ,Pacific Oce ,2090
AMD80,2011,2110,V,4257 24TH ,Rock Sole,6610088
AMD80,2011,2110,V,4257 24TH ,Yellowfin S,11959818
AMD80,2011,2118,L,580 NACHE ,Atka Macke,25941310
AMD80,2011,2118,L,580 NACHE ,Flathead So,1069216
AMD80,2011,2118,L,580 NACHE ,Pacific Cod,3408871
AMD80,2011,2118,L,580 NACHE ,Pacific Oce ,5091600
AMD80,2011,2118,L,580 NACHE ,Rock Sole,5980454
AMD80,2011,2118,L,580 NACHE ,Yellowfin S,21492203
AMD80,2011,2123,V,6901 WEST ,Atka Macke,1835823
AMD80,2011,2123,V,6901 WEST ,Flathead So,1239556
AMD80,2011,2123,V,6901 WEST ,Pacific Cod,5531340
AMD80,2011,2123,V,6901 WEST ,Rock Sole,5874476
AMD80,2011,2123,V,6901 WEST ,Yellowfin S,5982388
AMD80,2011,2134,V,4201 21ST ,Atka Macke,23577176
AMD80,2011,2134,V,4201 21ST ,Flathead So,4504377
AMD80,2011,2134,V,4201 21ST ,Pacific Cod,8068943
AMD80,2011,2134,V,4201 21ST ,Pacific Oce ,7898985
AMD80,2011,2134,V,4201 21ST ,Rock Sole,7159726
AMD80,2011,2134,V,4201 21ST ,Yellowfin S,13893763
AMD80,2011,2443,V,580 NACHE ,Atka Macke,34590924
AMD80,2011,2443,V,580 NACHE ,Flathead So,2047639
AMD80,2011,2443,V,580 NACHE ,Pacific Cod,5003803
AMD80,2011,2443,V,580 NACHE ,Pacific Oce ,9389556
AMD80,2011,2443,V,580 NACHE ,Rock Sole,7883033
AMD80,2011,2443,V,580 NACHE ,Yellowfin S,28201160
AMD80,2011,2732,V,120 TILLSO ,Flathead So,85216
AMD80,2011,2732,V,120 TILLSO ,Rock Sole,850175
AMD80,2011,2732,V,120 TILLSO ,Yellowfin S,1757999
AMD80,2011,2733,V,6901 WEST ,Atka Macke,20150390
AMD80,2011,2733,V,6901 WEST ,Flathead So,2496557
AMD80,2011,2733,V,6901 WEST ,Pacific Cod,9485962
AMD80,2011,2733,V,6901 WEST ,Pacific Oce ,8286728
AMD80,2011,2733,V,6901 WEST ,Rock Sole,5688821
AMD80,2011,2733,V,6901 WEST ,Yellowfin S,13230487
AMD80,2011,2785,L,4257 24TH ,Flathead So,7970970
AMD80,2011,2785,L,4257 24TH ,Pacific Cod,4402253
AMD80,2011,2785,L,4257 24TH ,Rock Sole,6499242
AMD80,2011,2785,L,4257 24TH ,Yellowfin S,11309096
AMD80,2011,2800,V,570 KIRKLA ,Atka Macke,1485092
AMD80,2011,2800,V,570 KIRKLA ,Atka Macke,493880
AMD80,2011,2800,V,570 KIRKLA ,Atka Macke,1177940
AMD80,2011,2800,V,570 KIRKLA ,Flathead So,2583771
AMD80,2011,2800,V,570 KIRKLA ,Pacific Cod,13961123
AMD80,2011,2800,V,570 KIRKLA ,Pacific Oce ,174800
AMD80,2011,2800,V,570 KIRKLA ,Rock Sole,12058935
AMD80,2011,2800,V,570 KIRKLA ,Yellowfin S,14728185
AMD80,2011,2924,V,6901 WEST ,Atka Macke,1281605
AMD80,2011,2924,V,6901 WEST ,Flathead So,595368
AMD80,2011,2924,V,6901 WEST ,Pacific Cod,2412289
AMD80,2011,2924,V,6901 WEST ,Rock Sole,1225457
AMD80,2011,2924,V,6901 WEST ,Yellowfin S,1065210
AMD80,2011,3367,V,6901 WEST ,Atka Macke,3747003
AMD80,2011,3367,V,6901 WEST ,Flathead So,2511335
AMD80,2011,3367,V,6901 WEST ,Pacific Cod,6583031
AMD80,2011,3367,V,6901 WEST ,Pacific Oce ,3411
AMD80,2011,3367,V,6901 WEST ,Rock Sole,7493470
AMD80,2011,3367,V,6901 WEST ,Yellowfin S,8482043
AMD80,2011,3369,V,4257 24TH ,Atka Macke,119723
AMD80,2011,3369,V,4257 24TH ,Flathead So,2328934
AMD80,2011,3369,V,4257 24TH ,Pacific Cod,7694268
AMD80,2011,3369,V,4257 24TH ,Pacific Oce ,13398
AMD80,2011,3369,V,4257 24TH ,Rock Sole,12433009
AMD80,2011,3369,V,4257 24TH ,Yellowfin S,18022742
AMD80,2011,3423,V,580 NACHE ,Atka Macke,34948820
AMD80,2011,3423,V,580 NACHE ,Flathead So,1721587
AMD80,2011,3423,V,580 NACHE ,Pacific Cod,4606763
AMD80,2011,3423,V,580 NACHE ,Pacific Oce ,9912128
AMD80,2011,3423,V,580 NACHE ,Rock Sole,7308731
AMD80,2011,3423,V,580 NACHE ,Yellowfin S,30134586
AMD80,2011,3694,V,4257 24TH ,Atka Macke,75929
AMD80,2011,3694,V,4257 24TH ,Atka Macke,400
AMD80,2011,3694,V,4257 24TH ,Flathead So,5980230
AMD80,2011,3694,V,4257 24TH ,Pacific Cod,8943395
AMD80,2011,3694,V,4257 24TH ,Rock Sole,8653292
AMD80,2011,3694,V,4257 24TH ,Yellowfin S,16648065
AMD80,2011,3744,L,120 TILLSO ,Flathead So,85216
AMD80,2011,3744,L,120 TILLSO ,Rock Sole,850175
AMD80,2011,3744,L,120 TILLSO ,Yellowfin S,1757999
AMD80,2011,3819,V,580 NACHE ,Atka Macke,21858361
AMD80,2011,3819,V,580 NACHE ,Flathead So,1648940
AMD80,2011,3819,V,580 NACHE ,Pacific Cod,4965397
AMD80,2011,3819,V,580 NACHE ,Pacific Oce ,1440168
AMD80,2011,3819,V,580 NACHE ,Rock Sole,11459605
AMD80,2011,3819,V,580 NACHE ,Yellowfin S,27049154
AMD80,2011,3835,V,4201 21ST ,Atka Macke,47754219
AMD80,2011,3835,V,4201 21ST ,Flathead So,953810
AMD80,2011,3835,V,4201 21ST ,Pacific Cod,7999421
AMD80,2011,3835,V,4201 21ST ,Pacific Oce ,10738609
AMD80,2011,3835,V,4201 21ST ,Rock Sole,3160316
AMD80,2011,3835,V,4201 21ST ,Yellowfin S,16457475
AMD80,2011,3895,L,4257 24TH ,Atka Macke,32
AMD80,2011,3895,L,4257 24TH ,Flathead So,699091
AMD80,2011,3895,L,4257 24TH ,Pacific Cod,570339
AMD80,2011,3895,L,4257 24TH ,Rock Sole,1031169
AMD80,2011,3895,L,4257 24TH ,Yellowfin S,611940
AMD80,2011,4092,V,120 TILLSO ,Atka Macke,777682
AMD80,2011,4092,V,120 TILLSO ,Flathead So,9386173
AMD80,2011,4092,V,120 TILLSO ,Pacific Cod,9669804
AMD80,2011,4092,V,120 TILLSO ,Rock Sole,9240634
AMD80,2011,4092,V,120 TILLSO ,Yellowfin S,17710447
AMD80,2011,4093,V,580 NACHE ,Atka Macke,29334963
AMD80,2011,4093,V,580 NACHE ,Flathead So,1201482
AMD80,2011,4093,V,580 NACHE ,Pacific Cod,4680046
AMD80,2011,4093,V,580 NACHE ,Pacific Oce ,3858802
AMD80,2011,4093,V,580 NACHE ,Rock Sole,5577002
AMD80,2011,4093,V,580 NACHE ,Yellowfin S,25027063
AMD80,2011,4635,V,120 TILLSO ,Atka Macke,321301
AMD80,2011,4635,V,120 TILLSO ,Flathead So,7994079
AMD80,2011,4635,V,120 TILLSO ,Pacific Cod,9834868
AMD80,2011,4635,V,120 TILLSO ,Rock Sole,10457592
AMD80,2011,4635,V,120 TILLSO ,Yellowfin S,14576535
AMD80,2011,5822,V,120 TILLSO ,Atka Macke,669339
AMD80,2011,5822,V,120 TILLSO ,Flathead So,10274864
AMD80,2011,5822,V,120 TILLSO ,Pacific Cod,10554424
AMD80,2011,5822,V,120 TILLSO ,Rock Sole,9280312
AMD80,2011,5822,V,120 TILLSO ,Yellowfin S,14567955
AMD80,2012,528,V,6901 WEST ,Atka Macke,18461
AMD80,2012,528,V,6901 WEST ,Flathead So,1353899
AMD80,2012,528,V,6901 WEST ,Pacific Cod,1004056
AMD80,2012,528,V,6901 WEST ,Rock Sole,1089424
AMD80,2012,528,V,6901 WEST ,Yellowfin S,2674130
AMD80,2012,1311,V,580 NACHE ,Atka Macke,2968052
AMD80,2012,1311,V,580 NACHE ,Flathead So,167390
AMD80,2012,1311,V,580 NACHE ,Pacific Cod,1268313
AMD80,2012,1311,V,580 NACHE ,Pacific Oce ,998792
AMD80,2012,1311,V,580 NACHE ,Rock Sole,1005991
AMD80,2012,1311,V,580 NACHE ,Yellowfin S,3621450
AMD80,2012,1610,V,4257 24TH ,Atka Macke,408980
AMD80,2012,1610,V,4257 24TH ,Flathead So,6237573
AMD80,2012,1610,V,4257 24TH ,Pacific Cod,8295459
AMD80,2012,1610,V,4257 24TH ,Rock Sole,7056379
AMD80,2012,1610,V,4257 24TH ,Yellowfin S,14735627
AMD80,2012,1802,L,6901 WEST ,Flathead So,85216
AMD80,2012,1802,L,6901 WEST ,Rock Sole,850175
AMD80,2012,1802,L,6901 WEST ,Yellowfin S,1757999
AMD80,2012,1879,V,570 KIRKLA ,Atka Macke,924640
AMD80,2012,1879,V,570 KIRKLA ,Atka Macke,1552870
AMD80,2012,1879,V,570 KIRKLA ,Flathead So,2095306
AMD80,2012,1879,V,570 KIRKLA ,Pacific Cod,9018264
AMD80,2012,1879,V,570 KIRKLA ,Pacific Oce ,72511
AMD80,2012,1879,V,570 KIRKLA ,Rock Sole,12791703
AMD80,2012,1879,V,570 KIRKLA ,Yellowfin S,14050747
AMD80,2012,2110,V,4257 24TH ,Atka Macke,266993
AMD80,2012,2110,V,4257 24TH ,Flathead So,7748493
AMD80,2012,2110,V,4257 24TH ,Pacific Cod,7272271
AMD80,2012,2110,V,4257 24TH ,Pacific Oce ,2090
AMD80,2012,2110,V,4257 24TH ,Rock Sole,6610088
AMD80,2012,2110,V,4257 24TH ,Yellowfin S,11959818
AMD80,2012,2118,L,580 NACHE ,Atka Macke,25941310
AMD80,2012,2118,L,580 NACHE ,Flathead So,1069216
AMD80,2012,2118,L,580 NACHE ,Pacific Cod,3408871
AMD80,2012,2118,L,580 NACHE ,Pacific Oce ,5091600
AMD80,2012,2118,L,580 NACHE ,Rock Sole,5980454
AMD80,2012,2118,L,580 NACHE ,Yellowfin S,21492203
AMD80,2012,2123,V,6901 WEST ,Atka Macke,1835823
AMD80,2012,2123,V,6901 WEST ,Flathead So,1239556
AMD80,2012,2123,V,6901 WEST ,Pacific Cod,5531340
AMD80,2012,2123,V,6901 WEST ,Rock Sole,5874476
AMD80,2012,2123,V,6901 WEST ,Yellowfin S,5982388
AMD80,2012,2134,V,4201 21ST ,Atka Macke,23577176
AMD80,2012,2134,V,4201 21ST ,Flathead So,4504377
AMD80,2012,2134,V,4201 21ST ,Pacific Cod,8068943
AMD80,2012,2134,V,4201 21ST ,Pacific Oce ,7898985
AMD80,2012,2134,V,4201 21ST ,Rock Sole,7159726
AMD80,2012,2134,V,4201 21ST ,Yellowfin S,13893763
AMD80,2012,2443,V,580 NACHE ,Atka Macke,34590924
AMD80,2012,2443,V,580 NACHE ,Flathead So,2047639
AMD80,2012,2443,V,580 NACHE ,Pacific Cod,5003803
AMD80,2012,2443,V,580 NACHE ,Pacific Oce ,9389556
AMD80,2012,2443,V,580 NACHE ,Rock Sole,7883033
AMD80,2012,2443,V,580 NACHE ,Yellowfin S,28201160
AMD80,2012,2732,V,120 TILLSO ,Flathead So,85216
AMD80,2012,2732,V,120 TILLSO ,Rock Sole,850175
AMD80,2012,2732,V,120 TILLSO ,Yellowfin S,1757999
AMD80,2012,2733,V,6901 WEST ,Atka Macke,20150390
AMD80,2012,2733,V,6901 WEST ,Flathead So,2496557
AMD80,2012,2733,V,6901 WEST ,Pacific Cod,9485962
AMD80,2012,2733,V,6901 WEST ,Pacific Oce ,8286728
AMD80,2012,2733,V,6901 WEST ,Rock Sole,5688821
AMD80,2012,2733,V,6901 WEST ,Yellowfin S,13230487
AMD80,2012,2785,L,4257 24TH ,Flathead So,7970970
AMD80,2012,2785,L,4257 24TH ,Pacific Cod,4402253
AMD80,2012,2785,L,4257 24TH ,Rock Sole,6499242
AMD80,2012,2785,L,4257 24TH ,Yellowfin S,11309096
AMD80,2012,2800,V,570 KIRKLA ,Atka Macke,493880
AMD80,2012,2800,V,570 KIRKLA ,Atka Macke,1485092
AMD80,2012,2800,V,570 KIRKLA ,Atka Macke,1177940
AMD80,2012,2800,V,570 KIRKLA ,Flathead So,2583771
AMD80,2012,2800,V,570 KIRKLA ,Pacific Cod,13961123
AMD80,2012,2800,V,570 KIRKLA ,Pacific Oce ,174800
AMD80,2012,2800,V,570 KIRKLA ,Rock Sole,12058935
AMD80,2012,2800,V,570 KIRKLA ,Yellowfin S,14728185
AMD80,2012,2924,V,6901 WEST ,Atka Macke,1281605
AMD80,2012,2924,V,6901 WEST ,Flathead So,595368
AMD80,2012,2924,V,6901 WEST ,Pacific Cod,2412289
AMD80,2012,2924,V,6901 WEST ,Rock Sole,1225457
AMD80,2012,2924,V,6901 WEST ,Yellowfin S,1065210
AMD80,2012,3367,V,6901 WEST ,Atka Macke,3747003
AMD80,2012,3367,V,6901 WEST ,Flathead So,2511335
AMD80,2012,3367,V,6901 WEST ,Pacific Cod,6583031
AMD80,2012,3367,V,6901 WEST ,Pacific Oce ,3411
AMD80,2012,3367,V,6901 WEST ,Rock Sole,7493470
AMD80,2012,3367,V,6901 WEST ,Yellowfin S,8482043
AMD80,2012,3369,V,4257 24TH ,Atka Macke,119723
AMD80,2012,3369,V,4257 24TH ,Flathead So,2328934
AMD80,2012,3369,V,4257 24TH ,Pacific Cod,7694268
AMD80,2012,3369,V,4257 24TH ,Pacific Oce ,13398
AMD80,2012,3369,V,4257 24TH ,Rock Sole,12433009
AMD80,2012,3369,V,4257 24TH ,Yellowfin S,18022742
AMD80,2012,3423,V,580 NACHE ,Atka Macke,34948820
AMD80,2012,3423,V,580 NACHE ,Flathead So,1721587
AMD80,2012,3423,V,580 NACHE ,Pacific Cod,4606763
AMD80,2012,3423,V,580 NACHE ,Pacific Oce ,9912128
AMD80,2012,3423,V,580 NACHE ,Rock Sole,7308731
AMD80,2012,3423,V,580 NACHE ,Yellowfin S,30134586
AMD80,2012,3694,V,4257 24TH ,Atka Macke,75929
AMD80,2012,3694,V,4257 24TH ,Atka Macke,400
AMD80,2012,3694,V,4257 24TH ,Flathead So,5980230
AMD80,2012,3694,V,4257 24TH ,Pacific Cod,8943395
AMD80,2012,3694,V,4257 24TH ,Rock Sole,8653292
AMD80,2012,3694,V,4257 24TH ,Yellowfin S,16648065
AMD80,2012,3744,L,120 TILLSO ,Flathead So,85216
AMD80,2012,3744,L,120 TILLSO ,Rock Sole,850175
AMD80,2012,3744,L,120 TILLSO ,Yellowfin S,1757999
AMD80,2012,3819,V,580 NACHE ,Atka Macke,21858361
AMD80,2012,3819,V,580 NACHE ,Flathead So,1648940
AMD80,2012,3819,V,580 NACHE ,Pacific Cod,4965397
AMD80,2012,3819,V,580 NACHE ,Pacific Oce ,1440168
AMD80,2012,3819,V,580 NACHE ,Rock Sole,11459605
AMD80,2012,3819,V,580 NACHE ,Yellowfin S,27049154
AMD80,2012,3835,V,4201 21ST ,Atka Macke,47754219
AMD80,2012,3835,V,4201 21ST ,Flathead So,953810
AMD80,2012,3835,V,4201 21ST ,Pacific Cod,7999421
AMD80,2012,3835,V,4201 21ST ,Pacific Oce ,10738609
AMD80,2012,3835,V,4201 21ST ,Rock Sole,3160316
AMD80,2012,3835,V,4201 21ST ,Yellowfin S,16457475
AMD80,2012,3895,L,4257 24TH ,Atka Macke,32
AMD80,2012,3895,L,4257 24TH ,Flathead So,699091
AMD80,2012,3895,L,4257 24TH ,Pacific Cod,570339
AMD80,2012,3895,L,4257 24TH ,Rock Sole,1031169
AMD80,2012,3895,L,4257 24TH ,Yellowfin S,611940
AMD80,2012,4092,V,120 TILLSO ,Atka Macke,777682
AMD80,2012,4092,V,120 TILLSO ,Flathead So,9386173
AMD80,2012,4092,V,120 TILLSO ,Pacific Cod,9669804
AMD80,2012,4092,V,120 TILLSO ,Rock Sole,9240634
AMD80,2012,4092,V,120 TILLSO ,Yellowfin S,17710447
AMD80,2012,4093,V,580 NACHE ,Atka Macke,29334963
AMD80,2012,4093,V,580 NACHE ,Flathead So,1201482
AMD80,2012,4093,V,580 NACHE ,Pacific Cod,4680046
AMD80,2012,4093,V,580 NACHE ,Pacific Oce ,3858802
AMD80,2012,4093,V,580 NACHE ,Rock Sole,5577002
AMD80,2012,4093,V,580 NACHE ,Yellowfin S,25027063
AMD80,2012,4635,V,120 TILLSO ,Atka Macke,321301
AMD80,2012,4635,V,120 TILLSO ,Flathead So,7994079
AMD80,2012,4635,V,120 TILLSO ,Pacific Cod,9834868
AMD80,2012,4635,V,120 TILLSO ,Rock Sole,10457592
AMD80,2012,4635,V,120 TILLSO ,Yellowfin S,14576535
AMD80,2012,5822,V,120 TILLSO ,Atka Macke,669339
AMD80,2012,5822,V,120 TILLSO ,Flathead So,10274864
AMD80,2012,5822,V,120 TILLSO ,Pacific Cod,10554424
AMD80,2012,5822,V,120 TILLSO ,Rock Sole,9280312
AMD80,2012,5822,V,120 TILLSO ,Yellowfin S,14567955
AMD80,2013,528,V,6901 WEST ,Atka Macke,18461
AMD80,2013,528,V,6901 WEST ,Flathead So,1353899
AMD80,2013,528,V,6901 WEST ,Pacific Cod,1004056
AMD80,2013,528,V,6901 WEST ,Rock Sole,1089424
AMD80,2013,528,V,6901 WEST ,Yellowfin S,2674130
AMD80,2013,1311,V,580 NACHE ,Atka Macke,2968052
AMD80,2013,1311,V,580 NACHE ,Flathead So,167390
AMD80,2013,1311,V,580 NACHE ,Pacific Cod,1268313
AMD80,2013,1311,V,580 NACHE ,Pacific Oce ,998792
AMD80,2013,1311,V,580 NACHE ,Rock Sole,1005991
AMD80,2013,1311,V,580 NACHE ,Yellowfin S,3621450
AMD80,2013,1610,V,4257 24TH ,Atka Macke,408980
