,recovery_location_code,latitude,longitude,recovery_description
1,2MS22P014CLAY RT 01,49.3089,-124.1928,GSPTN           STAT AREA: P014 CLAYTONS FISHING RESP014
2,2MS27H024RAFA PT 06,49.2861,-126.2325,WSPT            STAT AREA: H024 RAFAEL POINT        H024
3,2MS22P016HARN IS 02,49.6,-124.0167,GSPTN           STAT AREA: P016 HARNESS ISLAND      P016
4,2MS23M19ATOD IN  09,48.5833,-123.4833,GSPTS           STAT AREA: M19A TOD INLET           M19A
5,2MS23P018GRAC IT 03,48.8517,-123.4936,GSPTS           STAT AREA: P018 GRACE ISLET         P018
6,2MS23P018COLL PT 02,48.85,-123.35,GSPTS           STAT AREA: P018 COLLINSON POINT     P018
7,2MS23P029GOWE PT,49.3819,-123.5382,GSPTS           STAT AREA: P029 GOWER POINT         P029
8,2MS23P018HOPE BY 05,48.8167,-123.2667,GSPTS           STAT AREA: P018 HOPE BAY            P018
9,2MS23P018IMRI IS 06,48.6944,-123.3331,GSPTS           STAT AREA: P018 IMRIE ISLAND        P018
10,2MS23P018MORE IS,53.0789,-132.1278,GSPTS           STAT AREA: P018 MORESBY ISLAND      P018
11,2MS23P028COLL CH 01,49.3833,-123.4167,GSPTS           STAT AREA: P028 COLLINGWOOD CHANNEL P028
12,2MS24M19BMCKE BY 10,48.5536,-123.5089,JFSPT           STAT AREA: M19B MCKENZIE BIGHT      M19B
13,2MS23P017HARMAC  16,49.1333,-123.8333,GSPTS           STAT AREA: P017 HARMAC              P017
14,2MS24M19BFIDD RF 04,48.4333,-123.2833,JFSPT           STAT AREA: M19B FIDDLE REEF         M19B
15,2MS23P029BOUN BY 08,49,-122.9167,GSPTS           STAT AREA: P029 BOUNDARY BAY        P029
16,2MS24P020BENT IS 05,48.3167,-123.55,JFSPT           STAT AREA: P020 BENTINCK ISLAND     P020
17,2MS22P016MOUA BY 21,49.6394,-124.4511,GSPTN           STAT AREA: P016 MOUAT BAY           P016
18,2MS23P029ROBE BK 07,49.0617,-123.1775,GSPTS           STAT AREA: P029 ROBERTS BANK        P029
19,2MS23P029CRES BE 08,49.05,-122.8833,GSPTS           STAT AREA: P029 CRESCENT BEACH      P029
20,2MN26H006GAUD PT 01,53.7167,-128.8333,CSPT            STAT AREA: H006 GAUDIN POINT        H006
21,2MN26H006HOPK PT 01,53.7833,-128.8167,CSPT            STAT AREA: H006 HOPKINS POINT       H006
22,2MN26H006GILT IN 01,53.8333,-128.9667,CSPT            STAT AREA: H006 GILTTOYEES INLET    H006
23,2MN26H006PAIS PT 01,53.75,-129,CSPT            STAT AREA: H006 PAISLEY POINT       H006
24,2MN26H006KHUT IN 23,53.1,-128.5,CSPT            STAT AREA: H006 KHUTZE INLET        H006
25,2MN26H006KITI VI 01,53.9833,-128.65,CSPT            STAT AREA: H006 KITIMAAT VILLAGE    H006
26,2MN26H006MISK IN 01,53.8333,-128.9333,CSPT            STAT AREA: H006 MISKATLA INLET      H006
27,2MN26H009SHAR IS 02,52.4833,-128.75,CSPT            STAT AREA: H009 SHARBAU ISLAND      H009
28,2MS22P013BEAV CR 42,50.5,-125.6333,GSPTN           STAT AREA: P013 BEAVER CREEK        P013
29,2MS23P028MIDC MA 07,49.3,-123.2,GSPTS           STAT AREA: P028 MID CHANNEL MARKER  P028
30,2MS23P017MUDG IS 16,49.1311,-123.7911,GSPTS           STAT AREA: P017 MUDGE ISLAND        P017
31,2MS23P017DANG RF 04,49.05,-123.7167,GSPTS           STAT AREA: P017 DANGER REEFS        P017
32,2MS23M19AREPU RK 11,48.55,-123.5333,GSPTS           STAT AREA: M19A REPULSE ROCK        M19A
33,2MS23P018PLUM SD 05,48.7833,-123.25,GSPTS           STAT AREA: P018 PLUMPER SOUND       P018
34,2MN25H02EDODG PT 08,52.75,-131.4833,NSPT            STAT AREA: H02E DODGE POINT         H02E
35,2MN26H006HART BY 02,53.4167,-129.2333,CSPT            STAT AREA: H006 HARTLEY BAY         H006
36,2MS23P017SHAR PT 07,48.9833,-123.7833,GSPTS           STAT AREA: P017 SHARPE POINT        P017
37,2MN26H006KITI AR 01,53.9167,-128.7,CSPT            STAT AREA: H006 KITIMAT ARM         H006
38,2MN26H006BISH CR 03,53.4667,-128.8833,CSPT            STAT AREA: H006 BISHOP CREEK        H006
39,2MN26P012ECHO IS 10,50.8667,-127.4333,CSPT            STAT AREA: P012 ECHO ISLANDS        P012
40,2MN26H008BURK CH 13,52.0833,-127.6667,CSPT            STAT AREA: H008 BURKE CHANNEL       H008
41,2MS23P018TUMB IS 11,48.8,-123.0667,GSPTS           STAT AREA: P018 TUMBO ISLAND        P018
42,2MS23P028SEPT BE 02,49.3667,-123.3333,GSPTS           STAT AREA: P028 SEPTEMBER MORN BEACHP028
43,2MN26H006KITI HA 01,53.9167,-128.7,CSPT            STAT AREA: H006 KITIMAT HARBOUR     H006
44,2MN26H006HLFM BY 01,53.9667,-128.7,CSPT            STAT AREA: H006 HALFMOON BAY        H006
45,2MN26H006EAGL BY 01,53.8167,-128.7,CSPT            STAT AREA: H006 EAGLE BAY           H006
46,2MN25H003PORT CA 13,55.45,-130.0333,NSPT            STAT AREA: H003 PORTLAND CANAL      H003
47,2MS23P029MISS PT 01,49.4333,-123.7167,GSPTS           STAT AREA: P029 MISSION POINT       P029
48,2MN25H003BELL BY 13,55.2833,-129.95,NSPT            STAT AREA: H003 BELLE BAY           H003
49,2MN26H006MNTT BY 01,54.0167,-128.6333,CSPT            STAT AREA: H006 MINETTE BAY         H006
50,2MN25H003PEAR CA 11,54.9167,-130.3333,NSPT            STAT AREA: H003 PEARSE CANAL        H003
51,2MS27P027GILL IS 02,50.45,-127.9667,WSPT            STAT AREA: P027 GILLAM ISLANDS      P027
52,2MS22P014BEAC MR 01,49.3,-124.2,GSPTN           STAT AREA: P014 BEACHCOMBERS MARINA P014
53,2MS27P125BAJO PT 02,49.6167,-126.8167,WSPT            STAT AREA: P125 BAJO POINT          P125
54,2MN26P006KITIMAT 01,53.9844,-128.6768,CSPT            STAT AREA: P006 KITIMAT             P006
55,2MN25H004KASI RV 15,54.25,-129.5833,NSPT            STAT AREA: H004 KASIKS RIVER        H004
56,2MS23P018PEND IS 05,48.7806,-123.2806,GSPTS           STAT AREA: P018 PENDER ISLAND       P018
57,2MN26H006KILD RV 01,53.8333,-128.5,CSPT            STAT AREA: H006 KILDALA RIVER       H006
58,2MS27P027KOSK BY 07,50.4667,-127.8833,WSPT            STAT AREA: P027 KOSKIMO BAY         P027
59,2MN09H004       697,54.08,-130.15,"NN              RIVER/GAP/SLOUGH (PFMA SUB 4-15 , part of -12)"
60,2MN25H005KLEW IN 23,53.6833,-129.7333,NSPT            STAT AREA: H005 KLEWNUGGIT INLET    H005
61,2MN25H003BOST IS 03,54.7,-130.5667,NSPT            STAT AREA: H003 BOSTON ISLANDS      H003
62,2MN25H02EMORE IS 13,53.0789,-132.1278,NSPT            STAT AREA: H02E MORESBY ISLAND      H02E
63,2MN25H004RIDL IS 12,54.2167,-130.3167,NSPT            STAT AREA: H004 RIDLEY ISLAND       H004
64,2MS24P020FRAZ IS 05,48.3278,-123.6069,JFSPT           STAT AREA: P020 FRAZER ISLAND       P020
65,1M105MS  SE10830,56.477765,-132.842537,"Alaska marine, Region 1, PETERSBURG, MS, Quadrant SE, District 108, Subdistrict 30"
66,2MN26H007SHEE PS 29,52.7833,-128.2667,CSPT            STAT AREA: H007 SHEEP PASSAGE       H007
67,2MS27P025COOK CH 06,49.6333,-126.6,WSPT            STAT AREA: P025 COOK CHANNEL        P025
68,2MN25H004TSUM IN 12,54.1667,-130.2333,NSPT            STAT AREA: H004 TSUM TSADAI INLET   H004
69,1M1ECMS  NW11393,57.994411,-136.546873,"Alaska marine, Region 1, GUSTAVUS, MS, Quadrant NW, District 113, Subdistrict 93"
70,1M1ECMS  NW11425,58.243015,-135.312863,"Alaska marine, Region 1, GUSTAVUS, MS, Quadrant NW, District 114, Subdistrict 25"
71,1M1ECMS  NW11423,58.316045,-135.800241,"Alaska marine, Region 1, GUSTAVUS, MS, Quadrant NW, District 114, Subdistrict 23"
72,2MN25H003PARK IT 04,54.6333,-130.4667,NSPT            STAT AREA: H003 PARKIN ISLETS       H003
73,2MN25H004TRIP IS 01,54.3,-130.8833,NSPT            STAT AREA: H004 TRIPLE ISLANDS      H004
74,1M104MS  NE11116,57.963366,-134.237593,"Alaska marine, Region 1, JUNEAU, MS, Quadrant NE, District 111, Subdistrict 16"
75,1M102MS  NW11450,58.138583,-136.307524,"Alaska marine, Region 1, ELFIN COVE, MS, Quadrant NW, District 114, Subdistrict 50"
76,1M103MS  NW11333,56.753401,-135.167683,"Alaska marine, Region 1, SITKA, MS, Quadrant NW, District 113, Subdistrict 33"
77,1M1ECMS  NW11440,58.15593,-136.187477,"Alaska marine, Region 1, GUSTAVUS, MS, Quadrant NW, District 114, Subdistrict 40"
78,1M112MS  SE10641,56.396656,-133.333333,"Alaska marine, Region 1, WRANGELL, MS, Quadrant SE, District 106, Subdistrict 41"
79,1M105MS  NE11031,57.361571,-133.646849,"Alaska marine, Region 1, PETERSBURG, MS, Quadrant NE, District 110, Subdistrict 31"
80,2MS27P025DOBL IS 13,49.8447,-126.9986,WSPT            STAT AREA: P025 DOUBLE ISLAND       P025
81,2MN25H004GOBL PT 04,54.05,-130.55,NSPT            STAT AREA: H004 GOBLE POINT         H004
82,2MN25H004GREE IS 05,54.5686,-130.7072,NSPT            STAT AREA: H004 GREEN ISLAND        H004
83,2MN26P012RUND IS 16,50.7244,-127.3656,CSPT            STAT AREA: P012 ROUND ISLAND        P012
84,2MS27P024KUTC PT 06,49.2484,-126.0763,WSPT            STAT AREA: P024 KUTCOUS POINT       P024
85,2MS01H026       758,49.8,-127.34,NWTR            TROLL ZONE 25B (part of PFMA 126)
86,2MN26H006YORK PT 06,53.0833,-129.1667,CSPT            STAT AREA: H006 YORK POINT          H006
87,2MN26H006LEAD PT 06,53.1833,-129.1,CSPT            STAT AREA: H006 LEADING POINT       H006
88,2MN25H004CHAT SD 05,54.375,-130.5917,NSPT            STAT AREA: H004 CHATHAM SOUND       H004
89,2MN25H02WCART SO 02,53.2167,-132.65,NSPT            STAT AREA: H02W CARTWRIGHT SOUND    H02W
90,2MN25H004CUTT RK 05,54.35,-130.7,NSPT            STAT AREA: H004 CUTTER ROCK         H004
91,2MN25H004WHIS IS 05,54.5142,-130.7508,NSPT            STAT AREA: H004 WHITESAND ISLAND    H004
92,2MS27P027KAIN PT 02,50.4667,-128.0333,WSPT            STAT AREA: P027 KAINS POINT         P027
93,2MS61P013SEPA HD 07,50.1833,-125.35,JSSSPT          STAT AREA: P013 SEPARATION HEAD     P013
94,2MS27P024H SP CV 02,49.3617,-126.2681,WSPT            STAT AREA: P024 HOT SPRINGS COVE    P024
95,2MN25H02WTART PT,NA,NA,NA
96,2MN26H009ARTH PT,NA,NA,NA
97,2MN26M094,51.02,-127.81,"CSPT            PFMA 11, 111, 12, (STAT AREAS 11, 12)"
98,2MS62P014BOWSER  05,49.45,-124.6667,GSSPTC          STAT AREA: P014 BOWSER              P014
99,2MS85P018       172,48.74,-123.57,"GSRESSPT        SANSUM NARROWS (PFMA SUBS 18-7, -8)"
100,2MN25H001NADE HA,NA,NA,NA
101,2MS27M23BNEWC CH 11,48.917,-125.4636,WSPT            STAT AREA: M23B NEWCOMBE CHANNEL    M23B
102,2MN25H02WRICH HD,NA,NA,NA
103,2MS23P017BLCK RK 03,49.1667,-123.6,GSPTS           STAT AREA: P017 BLACK ROCK          P017
104,2MN25H003BOST IS,NA,NA,NA
105,1M218    LC24191,59.57,-151.44,"Alaska marine, Region 2, HOMER, Quadrant LC, District 241, Subdistrict 91"
106,2MS62P014SHEL PT,49.9411,-125.1738,GSSPTC          STAT AREA: P014 SHELTER POINT       P014
107,2MN25P003P LE IS,54.4553,-130.9853,NSPT            STAT AREA: P003 PRINCE LEBOO ISLAND P003
108,2MN25P004GNAR IS,54.6372,-130.8322,NSPT            STAT AREA: P004 GNARLED ISLANDS     P004
109,2MS27H23BBAMFIEU,48.835,-125.144,WSPT            STAT AREA: H23B BAMFIELD            H23B
110,1M105DE  NE11015,57.123357,-133.449001,"Alaska marine, Region 1, PETERSBURG, DE, Quadrant NE, District 110, Subdistrict 15"
111,1M2DTMB  UC24420,60.04,-151.74,"Alaska marine, Region 2, DEEP CREEK, MB, Quadrant UC, District 244, Subdistrict 20"
112,1M104DE  NE11132,58.319779,-134.030382,"Alaska marine, Region 1, JUNEAU, DE, Quadrant NE, District 111, Subdistrict 32"
113,2MS62P014NASH BK 07,49.5167,-124.6333,GSSPTC          STAT AREA: P014 NASH BANK           P014
114,2MN25H004QLAW AN,NA,NA,NA
115,2MS27H025NOOT SO,NA,NA,NA
116,2MS27H025FLYN CV,NA,NA,NA
117,2MS27H025BURD PT,NA,NA,NA
118,2MN26H009SAFE CV,NA,NA,NA
119,7M3  51N 172W,51,-172,"HIGH SEAS RECOVERY, SECTOR 3, LATITUDE 51N, LONGITUDE 172W"
120,1M104DE  NE11116,57.963366,-134.237593,"Alaska marine, Region 1, JUNEAU, DE, Quadrant NE, District 111, Subdistrict 16"
121,1M218MB  LC232,59.18,-151,"Alaska marine, Region 2, HOMER, MB, Quadrant LC, District 232"
122,1M112MB  SE10720,56.068352,-132.083063,"Alaska marine, Region 1, WRANGELL, MB, Quadrant SE, District 107, Subdistrict 20"
123,1M218    LC231,59.82,-149.4,"Alaska marine, Region 2, HOMER, Quadrant LC, District 231"
124,1M218    LC24190,59.59,-151.35,"Alaska marine, Region 2, HOMER, Quadrant LC, District 241, Subdistrict 90"
125,2MS08M302       000,NA,NA,NA
126,2MN25P001YATZE   03,54.1499,-132.65,NSPT            STAT AREA: P001 YATZE               P001
127,2MS62P016NELS RK 17,49.65,-124.1167,GSSPTC          STAT AREA: P016 NELSON ROCK         P016
128,2MS61P013LOGG BY 06,50.1667,-125.3833,JSSSPT          STAT AREA: P013 LOGGER'S BAY        P013
129,2MS24P020CREY PT 05,48.3254,-123.6282,JFSPT           STAT AREA: P020 CREYKE POINT        P020
130,1M2DTMB  UC244,60.22,-151.98,"Alaska marine, Region 2, DEEP CREEK, MB, Quadrant UC, District 244"
131,1M104MB  NW11359,NA,NA,"Alaska marine, Region 1, JUNEAU, MB, Quadrant NW, District 113, Subdistrict 59"
132,1M112MB  SE10845,NA,NA,"Alaska marine, Region 1, WRANGELL, MB, Quadrant SE, District 108, Subdistrict 45"
133,1M104    NE11014,NA,NA,"Alaska marine, Region 1, JUNEAU, Quadrant NE, District 110, Subdistrict 14"
134,1M104MB  NE11265,NA,NA,"Alaska marine, Region 1, JUNEAU, MB, Quadrant NE, District 112, Subdistrict 65"
135,2MN50P006       000,52.98,-129.25,CNG             PFMA 6 - Princess Royal Island
136,2MS24M153,48.28,-123.5,"JFSPT           PFMA 19 (Coastal: 19-1 to 19-6) , 20"
137,2MS23P29MPT COWN,49.3355,-123.3605,GSPTS           STAT AREA: P29M POINT COWAN         P29M
138,2MS62P014MIST IS 01,49.3228,-124.2186,GSSPTC          STAT AREA: P014 MISTAKEN ISLAND     P014
139,2MN26P009ADDE PT 01,51.5183,-127.7847,CSPT            STAT AREA: P009 ADDENBROKE POINT    P009
140,2MNSKP004       000,NA,NA,NA
141,2MS22P014CLAY RT 01,,,
142,2MS27H024RAFA PT 06,,,
143,2MS22P016HARN IS 02,,,
144,2MS23M19ATOD IN  09,,,
145,2MS23P018GRAC IT 03,,,
146,2MS23P018COLL PT 02,,,
147,2MS23P029GOWE PT,,,
148,2MS23P018HOPE BY 05,,,
149,2MS23P018IMRI IS 06,,,
150,2MS23P018MORE IS,,,
151,2MS23P028COLL CH 01,,,
152,2MS24M19BMCKE BY 10,,,
153,2MS23P017HARMAC  16,,,
154,2MS24M19BFIDD RF 04,,,
155,2MS23P029BOUN BY 08,,,
156,2MS24P020BENT IS 05,,,
157,2MS22P016MOUA BY 21,,,
158,2MS23P029ROBE BK 07,,,
159,2MS23P029CRES BE 08,,,
160,2MN26H006GAUD PT 01,,,
161,2MN26H006HOPK PT 01,,,
162,2MN26H006GILT IN 01,,,
163,2MN26H006PAIS PT 01,,,
164,2MN26H006KHUT IN 23,,,
165,2MN26H006KITI VI 01,,,
166,2MN26H006MISK IN 01,,,
167,2MN26H009SHAR IS 02,,,
168,2MS22P013BEAV CR 42,,,
169,2MS23P028MIDC MA 07,,,
170,2MS23P017MUDG IS 16,,,
171,2MS23P017DANG RF 04,,,
172,2MS23M19AREPU RK 11,,,
173,2MS23P018PLUM SD 05,,,
174,2MN25H02EDODG PT 08,,,
175,2MN26H006HART BY 02,,,
176,2MS23P017SHAR PT 07,,,
177,2MN26H006KITI AR 01,,,
178,2MN26H006BISH CR 03,,,
179,2MN26P012ECHO IS 10,,,
180,2MN26H008BURK CH 13,,,
181,2MS23P018TUMB IS 11,,,
182,2MS23P028SEPT BE 02,,,
183,2MN26H006KITI HA 01,,,
184,2MN26H006HLFM BY 01,,,
185,2MN26H006EAGL BY 01,,,
186,2MN25H003PORT CA 13,,,
187,2MS23P029MISS PT 01,,,
188,2MN25H003BELL BY 13,,,
189,2MN26H006MNTT BY 01,,,
190,2MN25H003PEAR CA 11,,,
191,2MS27P027GILL IS 02,,,
192,2MS22P014BEAC MR 01,,,
193,2MS27P125BAJO PT 02,,,
194,2MN26P006KITIMAT 01,,,
195,2MN25H004KASI RV 15,,,
196,2MS23P018PEND IS 05,,,
197,2MN26H006KILD RV 01,,,
198,2MS27P027KOSK BY 07,,,
199,2MN09H004       697,,,
200,2MN25H005KLEW IN 23,,,
201,2MN25H003BOST IS 03,,,
202,2MN25H02EMORE IS 13,,,
203,2MN25H004RIDL IS 12,,,
204,2MS24P020FRAZ IS 05,,,
205,2MN26H007SHEE PS 29,,,
206,2MS27P025COOK CH 06,,,
207,2MN25H004TSUM IN 12,,,
208,2MN25H003PARK IT 04,,,
209,2MN25H004TRIP IS 01,,,
210,2MS27P025DOBL IS 13,,,
211,2MN25H004GOBL PT 04,,,
212,2MN25H004GREE IS 05,,,
213,2MN26P012RUND IS 16,,,
214,2MS27P024KUTC PT 06,,,
215,2MS01H026       758,,,
216,2MN26H006YORK PT 06,,,
217,2MN26H006LEAD PT 06,,,
218,2MN25H004CHAT SD 05,,,
219,2MN25H02WCART SO 02,,,
220,2MN25H004CUTT RK 05,,,
221,2MN25H004WHIS IS 05,,,
222,2MS27P027KAIN PT 02,,,
223,2MS61P013SEPA HD 07,,,
224,2MS27P024H SP CV 02,,,
225,2MN25H02WTART PT,,,
226,2MN26H009ARTH PT,,,
227,2MN26M094,,,
228,2MS62P014BOWSER  05,,,
229,2MS85P018       172,,,
230,2MN25H001NADE HA,,,
231,2MS27M23BNEWC CH 11,,,
232,2MN25H02WRICH HD,,,
233,2MS23P017BLCK RK 03,,,
234,2MN25H003BOST IS,,,
235,2MS62P014SHEL PT,,,
236,2MN25P003P LE IS,,,
237,2MN25P004GNAR IS,,,
238,2MS27H23BBAMFIEU,,,
239,2MS62P014NASH BK 07,,,
240,2MN25H004QLAW AN,,,
241,2MS27H025NOOT SO,,,
242,2MS27H025FLYN CV,,,
243,2MS27H025BURD PT,,,
244,2MN26H009SAFE CV,,,
245,2MS08M302       000,,,
246,2MN25P001YATZE   03,,,
247,2MS62P016NELS RK 17,,,
248,2MS61P013LOGG BY 06,,,
249,2MS24P020CREY PT 05,,,
250,2MN50P006       000,,,
251,2MS24M153,,,
252,2MS23P29MPT COWN,,,
253,2MS62P014MIST IS 01,,,
254,2MN26P009ADDE PT 01,,,
255,2MNSKP004       000,,,